Img_Name,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
imageee216,0.0,2945.1348,3178.6726,4317.4976,0.0,3188.5786,0.0,3123.1516,3076.5215,2993.3215
imageee1811,0.0,2258.3933,2418.4885,3319.969,0.0,2415.4011,0.0,2349.9224,2373.8877,2328.654
imageee3076,0.0,2574.9119,2804.1697,3776.0208,0.0,2746.8882,0.0,2651.7727,2693.1448,2616.0066
imageee2643,0.0,2673.607,2866.8188,3896.89,0.0,2873.3098,0.0,2810.7537,2804.8188,2724.992
imageee389,0.0,2628.6562,2820.5112,3850.5771,0.0,2830.4187,0.0,2749.922,2747.7715,2669.9973
imageee1434,0.0,3037.6213,3254.0374,4441.5303,0.0,3222.3992,0.0,3133.2495,3163.3506,3109.0312
imageee3611,0.0,2757.5806,2961.3923,4015.617,0.0,2944.8481,0.0,2905.8545,2886.165,2809.5427
imageee4458,0.0,2225.7524,2402.7732,3334.9927,0.0,2388.931,0.0,2170.4026,2340.509,2285.0916
imageee3120,0.0,2867.9663,3080.0466,4194.7163,0.0,3094.3447,0.0,2971.7666,2998.071,2917.539
imageee4292,0.0,2526.129,2736.7925,3693.792,0.0,2677.8635,0.0,2697.3901,2667.6987,2564.6194
imageee3128,0.0,3351.004,3610.7944,4935.738,0.0,3625.0444,0.0,3456.379,3503.0671,3413.7793
imageee153,0.0,3041.6816,3275.5051,4456.2295,0.0,3273.571,0.0,3148.8716,3155.8777,3086.9192
imageee2003,0.0,2010.2937,2172.6328,2959.5928,0.0,2149.2686,0.0,2074.7322,2106.9973,2056.912
imageee2014,0.0,2905.416,3143.8271,4245.4453,0.0,3104.6345,0.0,3060.614,3041.2864,2968.6428
imageee1439,0.0,3842.7644,4121.779,5603.1255,0.0,4111.827,0.0,3974.6729,4004.38,3889.711
imageee2585,0.0,2573.4197,2728.9094,3727.094,0.0,2754.7817,0.0,2721.4773,2689.1338,2604.8933
imageee3477,0.0,2342.4233,2502.4246,3436.393,0.0,2498.1836,0.0,2387.4214,2460.6033,2380.4573
imageee3663,0.0,1362.1902,1478.0894,2006.738,0.0,1449.1512,0.0,1363.0635,1427.5653,1395.8479
imageee2793,0.0,2546.9185,2713.9714,3707.1956,0.0,2715.1228,0.0,2765.8867,2680.8096,2591.5862
imageee1207,0.0,2102.0107,2266.6626,3110.2314,0.0,2276.9604,0.0,2187.3367,2210.0273,2134.1855
imageee1968,0.0,1864.0327,2025.1613,2723.3967,0.0,1992.9838,0.0,1919.426,1946.6559,1896.1088
imageee83,0.0,3042.8333,3287.0986,4488.9644,0.0,3268.8154,0.0,3145.8196,3180.4175,3111.1838
imageee1470,0.0,1848.6642,1999.3412,2720.98,0.0,1990.2139,0.0,1944.0704,1942.1523,1887.7184
imageee889,0.0,2700.7068,2953.9006,4011.342,0.0,2905.4404,0.0,2804.3267,2863.9172,2759.562
imageee3531,0.0,2270.579,2444.4475,3314.06,0.0,2453.9524,0.0,2388.102,2379.2334,2315.9473
imageee3420,0.0,2726.1086,2918.7053,3984.0862,0.0,2913.3428,0.0,2798.8127,2860.29,2765.345
imageee522,0.0,3087.413,3308.5967,4534.8955,0.0,3335.2227,0.0,3179.6726,3215.7625,3123.2444
imageee2768,0.0,2366.955,2553.6328,3463.0571,0.0,2580.3496,0.0,2472.5398,2456.79,2379.5964
imageee4394,0.0,2342.7947,2488.9482,3407.6204,0.0,2495.773,0.0,2489.3997,2453.142,2380.3845
imageee2918,0.0,3259.5017,3488.6057,4713.046,0.0,3473.4634,0.0,3410.2278,3388.657,3308.455
imageee482,0.0,1811.6958,1985.9171,2677.419,0.0,1983.8582,0.0,1793.2689,1870.6056,1817.1395
imageee2541,0.0,2303.1099,2494.2173,3411.1472,0.0,2484.316,0.0,2417.5923,2413.158,2353.9617
